epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4128.85,0.74906,0.68841,1.02722,0.96372,0.94166,0.98324,0.82512,0.58127,0.58434,0.88417,0.000325526,0.000325526,0.000325526
80,4172.14,0.77542,0.70298,1.02961,0.95926,0.94342,0.982,0.82466,0.55434,0.58876,0.87671,0.000311379,0.000311379,0.000311379
81,4215.82,0.71733,0.6734,0.99193,0.9501,0.95198,0.98407,0.82993,0.54719,0.57801,0.87421,0.000297232,0.000297232,0.000297232
82,4259.88,0.75154,0.72524,1.01669,0.95966,0.96471,0.98347,0.82911,0.5453,0.56597,0.87244,0.000283085,0.000283085,0.000283085
83,4303.7,0.71208,0.6678,0.99547,0.96273,0.95723,0.98234,0.83191,0.54284,0.56536,0.87165,0.000268938,0.000268938,0.000268938
84,4346.67,0.7101,0.68755,0.98852,0.97919,0.93407,0.98314,0.84237,0.52819,0.56012,0.86708,0.000254791,0.000254791,0.000254791
85,4389.7,0.72156,0.6714,1.00395,0.97811,0.93589,0.98429,0.8469,0.52979,0.55603,0.86902,0.000240644,0.000240644,0.000240644
86,4432.04,0.69592,0.66297,0.98794,0.98478,0.93691,0.98513,0.85029,0.53613,0.55001,0.87035,0.000226497,0.000226497,0.000226497
87,4474.79,0.78481,0.74005,1.06066,0.98192,0.93887,0.98516,0.84629,0.53964,0.55597,0.87134,0.000212349,0.000212349,0.000212349
88,4517.89,0.71833,0.71375,1.04198,0.9722,0.95135,0.98585,0.84705,0.53021,0.5648,0.86924,0.000198202,0.000198202,0.000198202
89,4562.12,0.72662,0.69425,1.00593,0.97133,0.94826,0.98525,0.85109,0.51645,0.55963,0.86459,0.000184055,0.000184055,0.000184055
90,4605.26,0.75311,0.73697,1.02772,0.96981,0.94993,0.98547,0.85936,0.50544,0.55699,0.861,0.000169908,0.000169908,0.000169908
91,4646.46,0.67189,0.82514,0.96054,0.97009,0.93864,0.98574,0.86008,0.49819,0.5473,0.8582,0.000155761,0.000155761,0.000155761
92,4692.25,0.67539,0.87549,0.94813,0.9744,0.93815,0.98593,0.86072,0.50804,0.53729,0.85755,0.000141614,0.000141614,0.000141614
93,4734.59,0.65516,0.72726,0.9959,0.98601,0.92902,0.98626,0.86345,0.51992,0.54473,0.86017,0.000127467,0.000127467,0.000127467
94,4776.64,0.63695,0.7015,0.94608,0.9803,0.93134,0.98627,0.8663,0.52978,0.56133,0.86458,0.00011332,0.00011332,0.00011332
95,4818.85,0.63285,0.74931,0.92378,0.97978,0.9309,0.98626,0.86124,0.52695,0.57315,0.86431,9.91726e-05,9.91726e-05,9.91726e-05
96,4860.93,0.61887,0.66658,0.93224,0.99034,0.92814,0.98709,0.85962,0.52484,0.57616,0.86485,8.50255e-05,8.50255e-05,8.50255e-05
97,4903.57,0.65914,0.6824,0.93764,0.99125,0.92852,0.98639,0.86153,0.51605,0.56653,0.86152,7.08784e-05,7.08784e-05,7.08784e-05
98,4945.38,0.63889,0.6868,0.92014,0.99104,0.92874,0.98604,0.86002,0.50995,0.558,0.85976,5.67313e-05,5.67313e-05,5.67313e-05
99,4987.96,0.62981,0.71765,0.9097,0.98929,0.93023,0.9858,0.86007,0.50517,0.55031,0.85883,4.25842e-05,4.25842e-05,4.25842e-05
100,5029.42,0.61485,0.64634,0.91204,0.98602,0.92093,0.98452,0.85994,0.49717,0.54292,0.85766,2.84371e-05,2.84371e-05,2.84371e-05
