epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,486.05,0.52995,0.37958,0.91538,0.98642,0.97408,0.99185,0.90226,0.38833,0.26553,0.81455,0.00014633,0.00014633,0.00014633
138,489.263,0.52521,0.37151,0.91716,0.98691,0.97542,0.99162,0.91239,0.37966,0.26045,0.81258,0.000136898,0.000136898,0.000136898
139,492.473,0.53914,0.38181,0.91819,0.99764,0.98389,0.99223,0.91408,0.37365,0.25704,0.8119,0.000127467,0.000127467,0.000127467
140,495.72,0.5225,0.367,0.91564,0.99051,0.97826,0.99198,0.91226,0.37386,0.25591,0.81201,0.000118035,0.000118035,0.000118035
141,515.669,0.47883,0.33568,0.86354,0.97232,0.98813,0.99155,0.9113,0.37695,0.2588,0.81269,0.000108604,0.000108604,0.000108604
142,519.759,0.46618,0.32483,0.85906,0.98147,0.98957,0.99173,0.90754,0.39098,0.26528,0.81438,9.91726e-05,9.91726e-05,9.91726e-05
143,523.857,0.44969,0.30305,0.85449,0.98376,0.98694,0.99159,0.90338,0.39455,0.26436,0.8151,8.97412e-05,8.97412e-05,8.97412e-05
144,527.677,0.44928,0.31176,0.84901,0.9842,0.98773,0.99154,0.90851,0.38331,0.26406,0.81295,8.03098e-05,8.03098e-05,8.03098e-05
145,531.668,0.44611,0.3037,0.85435,0.98623,0.98476,0.99155,0.90634,0.38399,0.26525,0.81278,7.08784e-05,7.08784e-05,7.08784e-05
146,535.095,0.43872,0.30273,0.84502,0.97996,0.98707,0.9914,0.90772,0.38673,0.26556,0.81265,6.1447e-05,6.1447e-05,6.1447e-05
147,538.234,0.43295,0.29274,0.84454,0.98004,0.98564,0.99127,0.90542,0.38795,0.26631,0.81285,5.20156e-05,5.20156e-05,5.20156e-05
148,541.44,0.42705,0.29206,0.84381,0.9856,0.98566,0.99147,0.90383,0.38558,0.26473,0.81221,4.25842e-05,4.25842e-05,4.25842e-05
149,544.572,0.42185,0.28353,0.84443,0.99071,0.98564,0.99166,0.90385,0.38366,0.26373,0.81143,3.31528e-05,3.31528e-05,3.31528e-05
150,547.736,0.43065,0.29152,0.83771,0.9849,0.98564,0.99145,0.90736,0.38164,0.26337,0.81108,2.37214e-05,2.37214e-05,2.37214e-05
